Ticker,Company
AAPL,Apple Inc.
MSFT,Microsoft Corporation
NVDA,NVIDIA Corporation
AMZN,Amazon.com Inc.
GOOG,Alphabet Inc.
META,Meta Platforms Inc.
AVGO,Broadcom Inc.
TSLA,Tesla Inc.
NFLX,Netflix Inc.
COST,Costco Wholesale Corporation
TMUS,T-Mobile US Inc.
ASML,ASML Holding N.V.
CSCO,Cisco Systems Inc.
AZN,AstraZeneca PLC
LIN,Linde plc
PLTR,Palantir Technologies Inc.
PEP,PepsiCo Inc.
ISRG,Intuitive Surgical Inc.
PDD,PDD Holdings Inc.
QCOM,QUALCOMM Incorporated
AMD,Advanced Micro Devices Inc.
AMGN,Amgen Inc.
INTU,Intuit Inc.
ADBE,Adobe Inc.
TXN,Texas Instruments Incorporated
BKNG,Booking Holdings Inc.
CMCSA,Comcast Corporation
HON,Honeywell International Inc.
GILD,Gilead Sciences Inc.
VRTX,Vertex Pharmaceuticals Incorporated
ARM,Arm Holdings plc
AMAT,Applied Materials Inc.
PANW,Palo Alto Networks Inc.
ADP,Automatic Data Processing Inc.
SBUX,Starbucks Corporation
APP,AppLovin Corporation
MELI,MercadoLibre Inc.
MU,Micron Technology Inc.
INTC,Intel Corporation
ADI,Analog Devices Inc.
LRCX,Lam Research Corporation
KLAC,KLA Corporation
CRWD,CrowdStrike Holdings Inc.
MDLZ,Mondelez International Inc.
DASH,DoorDash Inc.
ABNB,Airbnb Inc.
MSTR,MicroStrategy Incorporated
CTAS,Cintas Corporation
ORLY,O'Reilly Automotive Inc.
FTNT,Fortinet Inc.
CDNS,Cadence Design Systems Inc.
REGN,Regeneron Pharmaceuticals Inc.
CEG,Constellation Energy Corporation
PYPL,PayPal Holdings Inc.
SNPS,Synopsys Inc.
WDAY,Workday Inc.
MAR,Marriott International Inc.
ROP,Roper Technologies Inc.
MRVL,Marvell Technology Inc.
TEAM,Atlassian Corporation
CHTR,Charter Communications Inc.
ADSK,Autodesk Inc.
CSX,CSX Corporation
AEP,American Electric Power Company Inc.
MNST,Monster Beverage Corporation
CPRT,Copart Inc.
PAYX,Paychex Inc.
PCAR,PACCAR Inc
NXPI,NXP Semiconductors N.V.
FANG,Diamondback Energy Inc.
KDP,Keurig Dr Pepper Inc.
EXC,Exelon Corporation
BKR,Baker Hughes Company
AXON,Axon Enterprise Inc.
FAST,Fastenal Company
ROST,Ross Stores Inc.
VRSK,Verisk Analytics Inc.
XEL,Xcel Energy Inc.
CCEP,Coca-Cola Europacific Partners PLC
LULU,Lululemon Athletica Inc.
CTSH,Cognizant Technology Solutions Corporation
TTWO,Take-Two Interactive Software Inc.
EA,Electronic Arts Inc.
GEHC,GE HealthCare Technologies Inc.
DDOG,Datadog Inc.
KHC,The Kraft Heinz Company
ODFL,Old Dominion Freight Line Inc.
IDXX,IDEXX Laboratories Inc.
CSGP,CoStar Group Inc.
ZS,Zscaler Inc.
DXCM,DexCom Inc.
ANSS,ANSYS Inc.
TTD,The Trade Desk Inc.
MCHP,Microchip Technology Incorporated
WBD,Warner Bros. Discovery Inc.
CDW,CDW Corporation
GFS,GlobalFoundries Inc.
BIIB,Biogen Inc.
ON,ON Semiconductor Corporation
MDB,MongoDB Inc.
